state	x	y
AK	1	1
WA	1	3
OR	1	4
CA	1	5
HI	1	8
ID	2	3
NV	2	4
UT	2	5
AZ	2	6
MT	3	3
WY	3	4
CO	3	5
NM	3	6
ND	4	3
SD	4	4
NE	4	5
KS	4	6
OK	4	7
TX	4	8
MN	5	3
IA	5	4
MO	5	5
AR	5	6
LA	5	7
WI	6	2
IL	6	3
IN	6	4
KY	6	5
TN	6	6
MS	6	7
MI	7	3
OH	7	4
WV	7	5
NC	7	6
AL	7	7
PA	8	4
VA	8	5
SC	8	6
GA	8	7
NY	9	3
NJ	9	4
MD	9	5
FL	9	8
VT	10	2
MA	10	3
CT	10	4
DE	10	5
ME	11	1
NH	11	2
RI	11	4
