Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
EVERSON - MVET,3753,0.065,0.019,0,0.084,20181001,20181231
FERNDALE - MVET,3754,0.065,0.021,0,0.086,20181001,20181231
LYNDEN - MVET,3755,0.065,0.021,0,0.086,20181001,20181231
NOOKSACK - MVET,3756,0.065,0.019,0,0.084,20181001,20181231
SUMAS - MVET,3757,0.065,0.019,0,0.084,20181001,20181231
WHATCOM PTBA - MVET,3787,0.065,0.019,0,0.084,20181001,20181231
WHITMAN COUNTY,3800,0.065,0.013,0,0.078,20181001,20181231
ALBION,3801,0.065,0.013,0,0.078,20181001,20181231
COLFAX,3802,0.065,0.013,0,0.078,20181001,20181231
COLTON,3803,0.065,0.013,0,0.078,20181001,20181231
ENDICOTT,3804,0.065,0.013,0,0.078,20181001,20181231
FARMINGTON,3805,0.065,0.013,0,0.078,20181001,20181231
GARFIELD,3806,0.065,0.013,0,0.078,20181001,20181231
LA CROSSE,3807,0.065,0.013,0,0.078,20181001,20181231
LAMONT,3808,0.065,0.013,0,0.078,20181001,20181231
MALDEN,3809,0.065,0.013,0,0.078,20181001,20181231
OAKESDALE,3810,0.065,0.013,0,0.078,20181001,20181231
PALOUSE,3811,0.065,0.013,0,0.078,20181001,20181231
PULLMAN,3812,0.065,0.013,0,0.078,20181001,20181231
ROSALIA,3813,0.065,0.013,0,0.078,20181001,20181231
ST. JOHN,3814,0.065,0.013,0,0.078,20181001,20181231
TEKOA,3815,0.065,0.013,0,0.078,20181001,20181231
UNIONTOWN,3816,0.065,0.013,0,0.078,20181001,20181231
YAKIMA COUNTY,3900,0.065,0.014,0,0.079,20181001,20181231
GRANDVIEW,3901,0.065,0.014,0,0.079,20181001,20181231
GRANGER,3902,0.065,0.014,0,0.079,20181001,20181231
HARRAH,3903,0.065,0.014,0,0.079,20181001,20181231
MABTON,3904,0.065,0.014,0,0.079,20181001,20181231
MOXEE CITY,3905,0.065,0.014,0,0.079,20181001,20181231
NACHES,3906,0.065,0.014,0,0.079,20181001,20181231
SELAH,3907,0.065,0.017,0,0.082,20181001,20181231
SUNNYSIDE,3908,0.065,0.014,0,0.079,20181001,20181231
TIETON,3909,0.065,0.014,0,0.079,20181001,20181231
TOPPENISH,3910,0.065,0.014,0,0.079,20181001,20181231
UNION GAP,3911,0.065,0.016,0,0.081,20181001,20181231
WAPATO,3912,0.065,0.014,0,0.079,20181001,20181231
YAKIMA CITY,3913,0.065,0.017,0,0.082,20181001,20181231
ZILLAH,3914,0.065,0.014,0,0.079,20181001,20181231
YAKIMA COUNTY - MVET,3960,0.065,0.011,0,0.076,20181001,20181231
GRANDVIEW - MVET,3961,0.065,0.011,0,0.076,20181001,20181231
GRANGER - MVET,3962,0.065,0.011,0,0.076,20181001,20181231
HARRAH - MVET,3963,0.065,0.011,0,0.076,20181001,20181231
MABTON - MVET,3964,0.065,0.011,0,0.076,20181001,20181231
MOXEE CITY - MVET,3965,0.065,0.011,0,0.076,20181001,20181231
NACHES - MVET,3966,0.065,0.011,0,0.076,20181001,20181231
SELAH - MVET,3967,0.065,0.014,0,0.079,20181001,20181231
SUNNYSIDE - MVET,3968,0.065,0.011,0,0.076,20181001,20181231
TIETON - MVET,3969,0.065,0.011,0,0.076,20181001,20181231
TOPPENISH - MVET,3970,0.065,0.011,0,0.076,20181001,20181231
UNION GAP - MVET,3971,0.065,0.013,0,0.078,20181001,20181231
WAPATO - MVET,3972,0.065,0.011,0,0.076,20181001,20181231
YAKIMA CITY - MVET,3973,0.065,0.014,0,0.079,20181001,20181231
ZILLAH - MVET,3974,0.065,0.011,0,0.076,20181001,20181231
KING COUNTY NON-RTA,4000,0.065,0.021,0,0.086,20181001,20181231
AUBURN/KING NON-RTA,4002,0.065,0.021,0,0.086,20181001,20181231
BELLEVUE NON-RTA,4004,0.065,0.021,0,0.086,20181001,20181231
ISSAQUAH NON-RTA,4014,0.065,0.021,0,0.086,20181001,20181231
KENT NON-RTA,4015,0.065,0.021,0,0.086,20181001,20181231
REDMOND NON-RTA,4024,0.065,0.021,0,0.086,20181001,20181231
RENTON NON-RTA,4025,0.065,0.021,0,0.086,20181001,20181231
WOODINVILLE NON-RTA,4035,0.065,0.021,0,0.086,20181001,20181231
NEWCASTLE NON-RTA,4036,0.065,0.021,0,0.086,20181001,20181231
SAMMAMISH NON-RTA,4039,0.065,0.021,0,0.086,20181001,20181231
PIERCE COUNTY NON-RTA,4100,0.065,0.014,0,0.079,20181001,20181231
BONNEY LAKE NON-RTA,4101,0.065,0.014,0,0.079,20181001,20181231
PIERCE-PTBA NON-RTA,4127,0.065,0.02,0,0.085,20181001,20181231
SNOHOMISH COUNTY NON-RTA,4200,0.065,0.012,0,0.077,20181001,20181231
EVERETT NON-RTA,4205,0.065,0.018,0,0.083,20181001,20181231
SNOHOMISH-PTBA NON-RTA,4231,0.065,0.024,0,0.089,20181001,20181231
