date,police_fatalities,civilian_fatalities
10/16/2016,0,2
10/17/2016,0,3
10/18/2016,0,4
10/19/2016,1,3
10/20/2016,0,1
10/21/2016,0,2
10/22/2016,0,1
10/23/2016,0,3
10/24/2016,0,1
10/25/2016,0,4
10/26/2016,0,2
10/27/2016,0,3
10/28/2016,1,3
10/29/2016,1,0
10/30/2016,0,4
10/31/2016,1,3
11/1/2016,0,1
11/2/2016,2,2
11/3/2016,0,3
11/4/2016,1,2
11/5/2016,0,5
11/6/2016,1,6
11/7/2016,0,1
11/8/2016,2,4
11/9/2016,0,1
11/10/2016,1,2
11/11/2016,0,4
11/12/2016,0,2
11/13/2016,1,3
11/14/2016,0,0
11/15/2016,0,3
11/16/2016,0,2
11/17/2016,0,0
11/18/2016,1,5
11/19/2016,0,4
11/20/2016,1,2
11/21/2016,0,2
11/22/2016,0,4
11/23/2016,1,3
11/24/2016,0,1
11/25/2016,0,3
11/26/2016,0,1
11/27/2016,0,4
11/28/2016,0,3
11/29/2016,0,4
11/30/2016,1,1
12/1/2016,0,3
12/2/2016,0,3
12/3/2016,0,1
12/4/2016,0,2
12/5/2016,0,0
12/6/2016,0,4
12/7/2016,1,5
12/8/2016,1,1
12/9/2016,0,3
12/10/2016,0,2
12/11/2016,0,5
12/12/2016,0,3
12/13/2016,0,2
12/14/2016,0,0
12/15/2016,0,1
12/16/2016,0,1
12/17/2016,0,3
12/18/2016,0,3
12/19/2016,0,1
12/20/2016,0,3
12/21/2016,0,8
12/22/2016,0,1
12/23/2016,0,3
12/24/2016,0,4
12/25/2016,0,4
12/26/2016,0,0
12/27/2016,0,4
12/28/2016,0,1
12/29/2016,0,1
12/30/2016,1,3
12/31/2016,0,3
